time,latitude,longitude,mag
1998-03-01T22:01:05.130Z,46.3173333,-119.8818333,2.6
1998-03-01T16:30:35.730Z,49.1211667,-118.4035,2.5
1998-03-01T08:02:10.230Z,44.659,-114.005,3.1
1998-03-01T01:02:07.940Z,41.6576667,-109.5376667,3.06
1998-02-28T15:22:17.030Z,31.293,-115.451,2.64
1998-02-28T07:10:33.540Z,40.5516667,-122.1646667,2.52
1998-02-28T00:47:51.820Z,32.006,-115.764,3
1998-02-27T21:58:23.390Z,36.7166667,-121.0106667,3.21
1998-02-26T20:51:54.850Z,31.965,-115.405,3.62
1998-02-26T15:47:14.390Z,31.921,-115.773,2.51
1998-02-26T14:20:31.000Z,46.07,-76.36,3.7
1998-02-26T06:15:25.250Z,31.932,-115.784,2.7
1998-02-26T05:36:21.570Z,38.7853333,-122.7706667,3.19
1998-02-26T04:32:38.960Z,31.927,-115.783,2.99
1998-02-26T04:12:42.610Z,31.956,-116.819,2.72
1998-02-26T02:10:25.430Z,36.49,-89.5541667,2.6
1998-02-26T01:30:12.080Z,38.8085,-122.8126667,2.58
1998-02-26T00:52:43.290Z,38.7688333,-122.7301667,2.61
1998-02-25T08:33:52.040Z,40.8963333,-121.8133333,3.02
1998-02-25T04:22:11.620Z,31.928,-115.79,2.52
1998-02-25T03:45:49.230Z,31.903,-115.772,2.67
1998-02-25T01:18:36.590Z,28.827,-112.945,3.4
1998-02-25T00:50:37.000Z,38.239,-118.389,4.3
1998-02-24T22:35:46.810Z,46.7376667,-122.8205,3.3
1998-02-24T21:05:19.600Z,31.949,-115.799,2.59
1998-02-24T11:40:10.230Z,31.317,-115.452,2.99
1998-02-24T11:31:48.780Z,31.235,-115.601,4.6
1998-02-24T08:28:38.860Z,31.924,-115.741,2.61
1998-02-24T03:23:35.780Z,31.928,-115.776,2.75
1998-02-23T17:46:31.040Z,36.9393333,-121.6831667,2.78
1998-02-23T14:45:04.330Z,31.915,-115.743,2.64
1998-02-23T13:43:13.520Z,37.889,-118.185,3
1998-02-22T21:10:46.690Z,31.913,-115.781,2.74
1998-02-22T01:12:48.720Z,31.931,-115.76,2.5
1998-02-22T00:25:43.900Z,40.3061667,-124.4781667,2.71
1998-02-21T21:54:14.580Z,46.7103333,-122.7915,3.3
1998-02-21T18:35:29.660Z,40.8688333,-121.9756667,2.61
1998-02-21T17:39:39.980Z,32.732,-118.077,3.42
1998-02-21T09:19:56.460Z,32.557,-115.301,2.53
1998-02-21T06:00:23.140Z,31.91,-115.766,2.7
1998-02-21T04:16:57.800Z,31.857,-115.775,2.68
1998-02-21T00:19:42.140Z,37.621,-118.8495,2.55
1998-02-20T20:32:18.060Z,47.9266667,-119.856,2.9
1998-02-20T19:25:13.560Z,32.185,-115.776,2.8
1998-02-20T16:47:03.940Z,32.16,-115.749,2.5
1998-02-20T11:57:34.280Z,37.6345,-118.8483333,2.52
1998-02-20T09:14:43.550Z,31.904,-115.772,2.59
1998-02-19T19:43:33.010Z,39.6321667,-120.0798333,2.57
1998-02-19T17:29:33.290Z,31.909,-115.783,2.71
1998-02-19T14:54:25.860Z,31.925,-115.754,2.53
1998-02-19T14:05:26.710Z,36.5315,-89.5798333,2.7
1998-02-19T11:40:02.810Z,31.919,-115.783,2.56
1998-02-19T11:34:38.430Z,31.907,-115.784,2.81
1998-02-19T06:04:55.650Z,36.7693333,-112.8976667,2.52
1998-02-19T06:00:17.620Z,31.91,-115.767,3.06
1998-02-19T02:04:02.140Z,31.752,-115.895,2.85
1998-02-19T01:28:21.330Z,31.924,-115.767,2.57
1998-02-19T01:12:31.900Z,31.902,-115.773,2.65
1998-02-19T00:43:18.190Z,31.919,-115.75,2.57
1998-02-19T00:38:20.750Z,31.904,-115.772,3.85
1998-02-18T23:54:43.760Z,37.6368333,-118.9341667,2.98
1998-02-18T20:21:58.800Z,42.009,-106.829,2.6
1998-02-18T16:09:44.220Z,31.936,-115.753,2.64
1998-02-18T15:51:03.430Z,31.918,-115.781,2.71
1998-02-18T15:07:39.260Z,31.891,-115.765,2.6
1998-02-18T14:58:46.250Z,37.6365,-118.9303333,2.78
1998-02-18T14:43:40.100Z,31.923,-115.769,2.65
1998-02-18T14:29:32.310Z,31.814,-115.727,4.86
1998-02-18T12:08:17.680Z,37.6205,-118.849,2.8
1998-02-17T22:08:39.360Z,39.8578333,-120.511,4.1
1998-02-16T19:22:40.740Z,37.6458333,-118.8843333,2.85
1998-02-16T14:21:06.800Z,34.098,-117.001,2.68
1998-02-16T13:12:46.220Z,37.6681667,-118.8946667,2.74
1998-02-16T12:56:58.430Z,37.6438333,-118.8858333,3.04
1998-02-16T11:44:29.670Z,37.644,-118.8863333,2.94
1998-02-16T11:22:01.760Z,37.6465,-118.8885,2.55
1998-02-16T11:13:56.710Z,37.6191667,-118.8476667,3.02
1998-02-16T04:06:29.600Z,42.173,-112.099,2.68
1998-02-15T15:14:53.050Z,46.8616667,-121.9721667,3.2
1998-02-15T09:45:26.530Z,39.3211667,-122.7943333,2.98
1998-02-15T06:36:55.930Z,36.0648333,-120.6036667,2.55
1998-02-15T00:05:04.820Z,41.1715,-110.431,2.67
1998-02-14T23:47:38.270Z,37.1456667,-120.5941667,2.74
1998-02-14T14:51:17.570Z,37.6703333,-118.8483333,2.86
1998-02-13T23:14:11.440Z,46.7096667,-122.7821667,2.7
1998-02-13T18:30:22.810Z,32.201,-115.754,2.59
1998-02-13T17:16:10.090Z,43.851,-71.26,2.7
1998-02-13T16:10:35.130Z,41.2646667,-110.3861667,2.51
1998-02-13T02:28:04.040Z,44.333,-107.513,3
1998-02-12T23:46:12.440Z,37.6168333,-118.834,3.07
1998-02-12T20:11:58.610Z,37.6181667,-118.8351667,2.5
1998-02-12T14:23:46.550Z,36.2538333,-120.3588333,3.02
1998-02-12T09:37:49.500Z,36.1408333,-89.7078333,2.8
1998-02-12T05:46:41.550Z,38.8486667,-122.7923333,3.04
1998-02-12T00:15:39.380Z,47.6728333,-122.4971667,3
1998-02-12T00:10:47.950Z,38.7736667,-122.7426667,2.63
1998-02-11T21:57:28.970Z,31.915,-115.717,2.81
1998-02-11T21:15:41.290Z,39.4681667,-112.0378333,2.88
1998-02-11T14:29:49.210Z,37.973,-112.5253333,2.95
1998-02-11T04:49:14.000Z,33.553,-118.155,3.17
1998-02-11T03:01:07.290Z,36.3741667,-120.3108333,2.88
1998-02-11T00:14:18.140Z,39.0405,-123.0833333,3.03
1998-02-10T21:05:47.630Z,33.075,-114.959,2.69
1998-02-10T07:18:41.210Z,37.9821667,-112.518,2.53
1998-02-10T01:32:12.840Z,48.0895,-121.9233333,2.5
1998-02-09T13:19:03.490Z,31.841,-115.696,3.77
1998-02-09T04:03:20.510Z,38.8,-122.8126667,2.58
1998-02-08T18:50:48.920Z,37.9655,-122.0403333,2.56
1998-02-08T16:00:02.370Z,34.953,-116.784,2.86
1998-02-07T21:30:48.410Z,37.1195,-121.4128333,2.56
1998-02-07T19:39:00.700Z,37.6363333,-118.9328333,3.58
1998-02-07T18:53:41.790Z,32.435,-115.102,2.55
1998-02-07T09:34:58.000Z,33.79,-116.974,3.1
1998-02-07T00:58:15.730Z,31.602,-115.587,2.54
1998-02-06T22:41:35.150Z,44.183,-105.243,3.1
1998-02-06T18:39:25.370Z,40.3075,-124.4216667,2.64
1998-02-06T17:17:21.080Z,38.7806667,-122.7233333,2.68
